OBJECTID,GEOID_Data,B01001e1,GEOID
521,05000US13267,25402,13267
522,05000US13269,8267,13269
523,05000US13271,16339,13271
524,05000US13273,8978,13273
525,05000US13275,44909,13275
526,05000US13277,40531,13277
527,05000US13279,27160,13279
528,05000US13281,11173,13281
529,05000US13283,6752,13283
530,05000US13285,69433,13285
531,05000US13287,8036,13287
532,05000US13289,8323,13289
533,05000US13291,22262,13291
534,05000US13293,26241,13293
535,05000US13295,68609,13295
536,05000US13297,88695,13297
537,05000US13299,35688,13299
538,05000US13301,5410,13301
539,05000US13303,20506,13303
540,05000US13305,29833,13305
541,05000US13307,2627,13307
542,05000US13309,7952,13309
543,05000US13311,28509,13311
544,05000US13313,103963,13313
545,05000US13315,8896,13315
546,05000US13317,9905,13317
547,05000US13319,9147,13319
548,05000US13321,20809,13321
549,05000US15001,196325,15001
550,05000US15003,990060,15003
551,05000US15005,86,15005
552,05000US15007,71093,15007
553,05000US15009,164094,15009
554,05000US16001,435117,16001
555,05000US16003,3946,16003
556,05000US16005,84113,16005
557,05000US16007,5942,16007
558,05000US16009,9050,16009
559,05000US16011,45369,16011
560,05000US16013,21583,16013
561,05000US16015,6968,16015
562,05000US16017,41855,16017
563,05000US16019,110404,16019
564,05000US16021,11323,16021
565,05000US16023,2613,16023
566,05000US16025,886,16025
567,05000US16027,207027,16027
568,05000US16029,6862,16029
569,05000US16031,23472,16031
570,05000US16033,1055,16033
571,05000US16035,8533,16035
572,05000US16037,4141,16037
573,05000US16039,26232,16039
574,05000US16041,13120,16041
575,05000US16043,12889,16043
576,05000US16045,16850,16045
577,05000US16047,15110,16047
578,05000US16049,16275,16049
579,05000US16051,27410,16051
580,05000US16053,23039,16053
581,05000US16055,150128,16055
582,05000US16057,38697,16057
583,05000US16059,7755,16059
584,05000US16061,3824,16061
585,05000US16063,5296,16063
586,05000US16065,38241,16065
587,05000US16067,20448,16067
588,05000US16069,40014,16069
589,05000US16071,4284,16071
590,05000US16073,11384,16073
591,05000US16075,22839,16075
592,05000US16077,7667,16077
593,05000US16079,12490,16079
594,05000US16081,10776,16081
595,05000US16083,82248,16083
596,05000US16085,10104,16085
597,05000US16087,9996,16087
598,05000US17001,66787,17001
599,05000US17003,6776,17003
600,05000US17005,17034,17005
601,05000US17007,53638,17007
602,05000US17009,6791,17009
603,05000US17011,33619,17011
604,05000US17013,4897,17013
605,05000US17015,14704,17015
606,05000US17017,12880,17017
607,05000US17019,207946,17019
608,05000US17021,33562,17021
609,05000US17023,15924,17023
610,05000US17025,13393,17025
611,05000US17027,37640,17027
612,05000US17029,52540,17029
613,05000US17031,5238541,17031
614,05000US17033,19214,17033
615,05000US17035,10899,17035
616,05000US17037,104473,17037
617,05000US17039,16176,17039
618,05000US17041,19830,17041
619,05000US17043,931826,17043
620,05000US17045,17603,17045
621,05000US17047,6570,17047
622,05000US17049,34164,17049
623,05000US17051,21980,17051
624,05000US17053,13470,17053
625,05000US17055,39302,17055
626,05000US17057,35733,17057
627,05000US17059,5226,17059
628,05000US17061,13311,17061
629,05000US17063,50333,17063
630,05000US17065,8259,17065
631,05000US17067,18264,17067
632,05000US17069,4161,17069
633,05000US17071,6927,17071
634,05000US17073,49649,17073
635,05000US17075,28457,17075
636,05000US17077,59115,17077
637,05000US17079,9608,17079
638,05000US17081,38358,17081
639,05000US17083,22215,17083
640,05000US17085,22046,17085
641,05000US17087,12899,17087
642,05000US17089,529402,17089
643,05000US17091,110801,17091
644,05000US17093,122933,17093
645,05000US17095,51374,17095
646,05000US17097,704476,17097
647,05000US17099,111151,17099
648,05000US17101,16457,17101
649,05000US17103,34670,17103
650,05000US17105,36812,17105
651,05000US17107,29488,17107
652,05000US17109,31597,17109
653,05000US17111,308043,17111
654,05000US17113,173231,17113
655,05000US17115,107587,17115
656,05000US17117,45960,17117
657,05000US17119,266153,17119
658,05000US17121,38305,17121
659,05000US17123,11925,17123
660,05000US17125,13904,17125
661,05000US17127,14594,17127
662,05000US17129,12416,17129
663,05000US17131,15794,17131
664,05000US17133,33739,17133
665,05000US17135,29173,17135
666,05000US17137,34442,17137
667,05000US17139,14711,17139
668,05000US17141,51619,17141
669,05000US17143,186145,17143
670,05000US17145,21467,17145
671,05000US17147,16433,17147
672,05000US17149,15930,17149
673,05000US17151,4360,17151
674,05000US17153,5691,17153
675,05000US17155,5771,17155
676,05000US17157,32829,17157
677,05000US17159,15953,17159
678,05000US17161,146205,17161
679,05000US17163,264433,17163
680,05000US17165,24430,17165
681,05000US17167,198134,17167
682,05000US17169,7181,17169
683,05000US17171,5109,17171
684,05000US17173,21906,17173
685,05000US17175,5551,17175
686,05000US17177,45839,17177
687,05000US17179,134695,17179
688,05000US17181,17267,17181
689,05000US17183,79207,17183
690,05000US17185,11568,17185
691,05000US17187,17429,17187
692,05000US17189,14260,17189
693,05000US17191,16569,17191
694,05000US17193,14186,17193
695,05000US17195,56823,17195
696,05000US17197,687727,17197
697,05000US17199,67477,17199
698,05000US17201,287512,17201
699,05000US17203,38942,17203
700,05000US18001,35018,18001
701,05000US18003,367747,18003
702,05000US18005,81024,18005
703,05000US18007,8685,18007
704,05000US18009,12214,18009
705,05000US18011,63013,18011
706,05000US18013,15007,18013
707,05000US18015,19994,18015
708,05000US18017,38248,18017
709,05000US18019,114893,18019
710,05000US18021,26375,18021
711,05000US18023,32455,18023
712,05000US18025,10598,18025
713,05000US18027,32777,18027
714,05000US18029,49564,18029
715,05000US18031,26480,18031
716,05000US18033,42524,18033
717,05000US18035,115938,18035
718,05000US18037,42379,18037
719,05000US18039,202924,18039
720,05000US18041,23426,18041
721,05000US18043,76481,18043
722,05000US18045,16620,18045
723,05000US18047,22835,18047
724,05000US18049,20296,18049
725,05000US18051,33596,18051
726,05000US18053,67615,18053
727,05000US18055,32431,18055
728,05000US18057,309687,18057
729,05000US18059,72776,18059
730,05000US18061,39450,18061
731,05000US18063,158170,18063
732,05000US18065,48649,18065
733,05000US18067,82457,18067
734,05000US18069,36520,18069
735,05000US18071,43779,18071
736,05000US18073,33448,18073
737,05000US18075,21107,18075
738,05000US18077,32293,18077
739,05000US18079,27840,18079
740,05000US18081,149359,18081
741,05000US18083,37763,18083
742,05000US18085,78720,18085
743,05000US18087,38720,18087
744,05000US18089,488694,18089
745,05000US18091,110839,18091
746,05000US18093,45669,18093
747,05000US18095,129641,18095
748,05000US18097,939964,18097
749,05000US18099,46752,18099
750,05000US18101,10219,18101
751,05000US18103,36035,18103
752,05000US18105,144436,18105
753,05000US18107,38288,18107
754,05000US18109,69533,18109
